120.0
46, 7, 0.23409090909090907, 0.46818181818181814
37, 31, 0.5159090909090909, 1.0318181818181817
46, 10, 0.5772727272727273, 1.1545454545454545
35, 17, 0.6409090909090909, 1.2818181818181817
35, 11, 0.9363636363636363, 1.8727272727272726
46, 10, 0.9886363636363635, 1.977272727272727
46, 7, 1.2977272727272726, 2.5954545454545452
37, 38, 1.5886363636363636, 3.1772727272727272
46, 8, 1.6454545454545453, 3.2909090909090906
46, 8, 1.9477272727272725, 3.895454545454545
35, 12, 2.0159090909090907, 4.031818181818181
35, 15, 2.318181818181818, 4.636363636363636
46, 9, 2.370454545454545, 4.74090909090909
46, 8, 2.6727272727272724, 5.345454545454545
37, 40, 2.959090909090909, 5.918181818181818
46, 12, 3.025, 6.05
46, 9, 3.318181818181818, 6.636363636363636
35, 14, 3.3909090909090907, 6.781818181818181
46, 8, 3.6818181818181817, 7.363636363636363
35, 15, 3.7386363636363633, 7.4772727272727275
